obs,k,m,same_pool_median,independent_pool_median,ratio
155,2,500,0.034426750483084474,0.027121356266830116,0.7877989030697553
156,2,100,0.042804752000048754,0.04213260390767829,0.9842973487530147
156,2,500,0.019956759738363326,0.015162913365196437,0.7597883405916056
157,2,100,0.04978397801071406,0.04127379019316288,0.8290576977251658
157,2,500,0.01976335728438571,0.025122866754420103,1.2711841613200374
158,2,100,0.052299484508670877,0.05140104948673399,0.9828213407765437
158,2,500,0.023193130947835743,0.0251172031483613,1.082958708975215
159,2,100,0.048118908641580485,0.050442161048948775,1.0482814858639733
159,2,500,0.023634998928010464,0.02015342266531661,0.8526940376304505
160,2,100,0.052659098404645915,0.05243451372310521,0.995735121026666
160,2,500,0.02272737014051527,0.02429933723686263,1.069166255780077
161,2,100,0.04191352781420574,0.03649052619971335,0.8706145271633668
161,2,500,0.01682390306731686,0.014915344263333827,0.8865567165748407
162,2,100,0.03906538859456779,0.038434677786845714,0.9838549972133189
162,2,500,0.015321948388684541,0.016586749001406137,1.0825482882879092
163,2,100,0.045887431391887376,0.04386252130027861,0.9558722284035546
163,2,500,0.020519891915470365,0.020408925877977165,0.9945922698837638
164,2,100,0.03288166004391387,0.036203609856590636,1.1010274362133863
164,2,500,0.018720952633954582,0.0204525697610341,1.0924962079087177
165,2,100,0.03381765721477569,0.03667887207204476,1.0846071281371596
165,2,500,0.014603763567470014,0.018374375884234906,1.25819456055588
166,2,100,0.04846658227667212,0.0504990907520987,1.0419362864050117
166,2,500,0.024151436462346465,0.02495154797974974,1.0331289411563862
167,2,100,0.05856294463984667,0.06356520188562571,1.085416764415488
167,2,500,0.02685649661459029,0.02959475775808096,1.1019589852982932
168,2,100,0.06125883560869844,0.06891430228855458,1.124969183690607
168,2,500,0.027267858220264316,0.027887322316039354,1.022717739353459
169,2,100,0.05846058123372497,0.051367907484434545,0.8786759625099524
169,2,500,0.025589701618347317,0.027588909388519826,1.0781254818828805
170,2,100,0.04258086646255106,0.04110645863469691,0.9653739355174733
170,2,500,0.017871165072079746,0.02026490479493514,1.1339442455598572
171,2,100,0.04758258517235518,0.04086100533427671,0.8587386579831392
171,2,500,0.022797166381403805,0.02331624838486314,1.0227695843761864
172,2,100,0.042469133418798446,0.046536873146146546,1.0957810861652186
172,2,500,0.019086702681239694,0.019288274670392277,1.0105608597000209
173,2,100,0.04714047888359056,0.04318919480396434,0.9161806546474934
173,2,500,0.022398814611509443,0.02048580934666097,0.914593459608104
174,2,100,0.042435809239186356,0.046493071873765446,1.0956094088299488
174,2,500,0.018888013102207335,0.018660411676950754,0.9879499540780188
175,2,100,0.03085585724646226,0.03950012800097466,1.280150076060632
175,2,500,0.014976563568506391,0.016569978755153716,1.1063939120185122
176,2,100,0.051170253283530455,0.04762367404010148,0.9306906060484468
176,2,500,0.020972838284727187,0.02267736404966563,1.0812730133040558
177,2,100,0.04650803152564914,0.04823871635971591,1.037212601292581
177,2,500,0.023388311102706942,0.0211170334642753,0.9028883433071503
178,2,100,0.056308132334705455,0.053056768089626005,0.942257643607272
178,2,500,0.023852165423706176,0.022461614631302654,0.9417012766890556
179,2,100,0.049498608359880764,0.051086318764369934,1.0320758594452937
179,2,500,0.023271417365875097,0.020573280035704376,0.8840578857853655
180,2,100,0.03750533964652569,0.04005296956161037,1.0679271255531924
180,2,500,0.013625519992504269,0.016755135547742248,1.2296877885731816
181,2,100,0.0654225229159929,0.05995883109997958,0.9164860728005081
181,2,500,0.029751767383981498,0.0287336503893137,0.9657796129712967
182,2,100,0.04333709085993468,0.03672245443267748,0.8473677790547667
182,2,500,0.016804273254796862,0.01634531511673704,0.9726880102994748
183,2,100,0.030007010518480093,0.03331588383428752,1.1102700088624164
183,2,500,0.014869183045718819,0.016987324438430366,1.1424517665966463
184,2,100,0.0398996492991224,0.04370880441078916,1.095468385777279
184,2,500,0.018143786914832892,0.017480280804540962,0.9634306711489484
185,2,100,0.04720753624262289,0.046722730047162625,0.9897303220195902
185,2,500,0.02302087228205055,0.025011144144274293,1.0864551020412707
186,2,100,0.05039911179793999,0.050661857550684364,1.0052133012541526
186,2,500,0.021881692956201737,0.023747496764454992,1.085267799524828
187,2,100,0.04938218669220805,0.053538282142579566,1.0841618350413653
187,2,500,0.02064300445979461,0.022460501456446947,1.0880442088840405
188,2,100,0.06044393520718441,0.0587661729985848,0.9722426707849393
188,2,500,0.02886098942561075,0.027966718475241216,0.9690145428771761
189,2,100,0.032853762655332686,0.03871152034634724,1.1782979244255223
189,2,500,0.014935234958771616,0.016878081836272034,1.1300847882784304
190,2,100,0.05274732719343156,0.053531993766222134,1.0148759494469377
190,2,500,0.021006890246178956,0.018936739312484862,0.9014537178309557
191,2,100,0.03329342866223306,0.03561827758001164,1.069829062706774
191,2,500,0.01410083210216835,0.016415852962061765,1.164176187839115
192,3,100,0.07676197508939855,0.07880483017979811,1.0266128521057516
192,3,500,0.04496430481101074,0.04496576918916154,1.0000325675701416
193,3,100,0.07927019716699915,0.08068883438340077,1.0178962241435197
193,3,500,0.044058075533496846,0.04481529416435709,1.0171868294674955
194,3,100,0.07986392462824782,0.08103426089603456,1.0146541291732714
194,3,500,0.046241757048418125,0.045789035755085444,0.9902096866073092
195,3,100,0.07877523691374808,0.07807660912840317,0.9911313781752273
195,3,500,0.04251228358658651,0.04313993464621405,1.0147639930550703
196,3,100,0.07314228745313983,0.07281586523695538,0.9955371615032743
196,3,500,0.04110676419120282,0.04119425890290489,1.002128474800281
197,3,100,0.08350564667768778,0.08469014095322538,1.0141846009541065
197,3,500,0.0452145339820534,0.04600937623890738,1.0175793530719452
198,3,100,0.08390252962286272,0.08379293197604519,0.9986937503873821
198,3,500,0.04818393257192026,0.04725367974918336,0.9806937131719503
199,3,100,0.08113831086506447,0.08284764391084515,1.0210669044937768
199,3,500,0.04616282616779208,0.04591126984208822,0.9945506732020802
200,3,100,0.07311412302727502,0.07549062763781597,1.0325040431607777
200,3,500,0.039965127979964016,0.041139762379787864,1.0293914835056386
201,3,100,0.07843401816599072,0.07684343081861733,0.9797206953747134
201,3,500,0.042620567901867135,0.04286266405936331,1.0056802658766442
202,3,100,0.06247386142313481,0.060303682672604914,0.9652626122174313
202,3,500,0.03342760503248622,0.03437916065386186,1.0284661620373605
203,3,100,0.06949898480984072,0.06996049611363558,1.0066405474131404
203,3,500,0.038564233217326306,0.03962594652237991,1.0275310363120767
204,3,100,0.06927823171286535,0.07054876386237639,1.0183395580126378
204,3,500,0.03839646118848275,0.03839506637987991,0.9999636735115772
205,3,100,0.07778187774997206,0.07894712869257978,1.0149810081257409
205,3,500,0.043760143924442434,0.043652469629297655,0.9975394437611839
206,3,100,0.07716471874080597,0.07881546049639583,1.0213924418118423
206,3,500,0.04376504773832858,0.043898543254596495,1.0030502769485385
207,3,100,0.07975177539822956,0.07738137707660597,0.9702777987099682
207,3,500,0.04293538693189621,0.04242923810693125,0.9882113831705346
208,3,100,0.07645357440747325,0.07807023810415219,1.021145691476276
208,3,500,0.042666445609803,0.044226031420628226,1.036552981822955
209,3,100,0.058972010078343254,0.06068410547617822,1.029032339164978
209,3,500,0.032264861803998554,0.03321411230030159,1.0294205660036455
210,3,100,0.0646009609612947,0.06369924787866574,0.9860418007842141
210,3,500,0.034366075428451104,0.03415456410019348,0.9938453452825015
211,3,100,0.08116998714810858,0.07794831196057297,0.9603095269479702
